Employee ID;Employee Name;Gender ID;Cancel;Fincode;Date of Birth;Disability ID;Veteran;Modify Date
3313;Catherine Santana PhD;1;1;552-45-5970;02.08.1997;;0;22.08.2024
8665;Valerie Bowen;1;1;303-07-4643;15.03.1992;;0;30.05.2024
5791;Jacob Williams;2;1;164-21-9717;21.05.1973;;0;26.07.2024
9239;Lawrence Proctor;1;0;850-59-5080;24.10.1969;10;1;09.07.2024
2542;Michael Bradley;1;0;211-78-1013;13.06.1987;10;0;17.08.2024
4950;Paula Larson;1;1;842-45-9919;17.02.1983;30;1;19.09.2024
8658;Dawn Bailey;1;1;366-52-2156;17.10.1997;30;0;26.06.2024
7244;Rachel Wolf;1;0;812-12-1014;09.11.1973;30;0;01.09.2024
3300;Kenneth Davis;2;1;094-24-6051;30.05.1970;10;1;29.06.2024
3354;Jill Hammond;1;1;778-22-2976;13.07.1988;30;1;12.03.2024
2927;Barry Baker;1;0;289-57-3266;18.01.1970;;0;15.05.2024
6031;Brittney Wood;1;1;511-34-0677;01.12.2003;10;1;26.03.2024
9306;Rodney Carter;1;0;385-11-1995;07.03.1991;30;0;29.02.2024
1913;Jennifer Johnson;1;1;710-80-5584;29.06.2001;;0;15.10.2023
9332;David Brown;1;0;164-96-8955;09.03.1999;30;0;19.06.2024
5358;Christina Owens;1;0;301-92-3733;15.02.1968;20;1;13.04.2024
9872;Gary Wells;2;1;340-60-9918;30.01.1968;30;1;04.11.2023
2463;Richard Melendez;1;0;271-87-8407;17.07.1988;20;0;10.08.2024
7287;Dr. Bradley Wilkerson;2;0;479-18-7825;14.07.1983;30;0;28.01.2024
3580;Brett Mathis;2;1;561-27-5735;14.03.1965;30;0;01.01.2024
6361;Kristy Robinson;1;0;556-44-7750;28.01.1986;10;0;08.02.2024
1930;Amanda Aguilar;1;0;017-44-1768;26.03.1988;10;1;12.01.2024
2585;Megan Jackson;2;1;277-45-4183;20.03.1993;20;0;19.04.2024
9481;Thomas Hawkins;2;1;337-57-7386;28.08.1988;10;0;30.07.2024
8679;Luis Chavez;2;0;051-97-1066;15.10.1977;;1;28.07.2024
7326;Cassandra Rodriguez;1;0;806-06-9680;29.01.1968;;1;07.12.2023
6621;Jacqueline Gardner;1;1;118-62-0491;30.07.1999;20;0;24.12.2023
1107;Jeffrey Delacruz;2;1;265-77-4081;13.09.1997;;1;14.04.2024
9235;Dylan Smith;1;0;695-89-6157;16.04.1987;;0;21.09.2024
1298;Daryl Cook;1;0;762-87-6138;06.04.1981;30;0;11.11.2023
8948;Amy Ford;2;0;448-95-3677;08.11.1979;10;1;04.09.2024
1424;Christopher Williams;1;0;499-39-3631;21.01.2000;;0;09.06.2024
9523;Hunter Fitzpatrick;2;0;326-86-4212;25.04.1990;;1;25.07.2024
5663;Kevin Knox;2;1;596-85-8404;11.01.1994;10;0;05.03.2024
1251;Kevin Garcia;2;0;755-89-5847;28.11.2003;;0;19.02.2024
6382;Travis Fox;1;0;101-64-6905;12.09.1969;;1;20.06.2024
6030;Joshua Barrett;2;0;607-77-6013;15.08.1993;10;1;09.06.2024
2243;Yolanda Blackburn;1;1;330-36-2918;12.10.1977;30;1;03.01.2024
6827;Justin Davis;2;0;820-09-9863;18.01.1975;;0;25.03.2024
2505;Laura Miller;1;1;740-12-8425;15.09.1970;10;0;24.09.2024
9387;Yvonne Scott;2;1;437-13-8654;23.04.1970;;0;19.09.2024
2080;Joseph Bowman;2;0;797-76-0737;19.12.1971;;0;26.09.2024
8092;John Walsh;1;0;173-91-0705;22.08.1973;30;1;12.11.2023
4653;Troy Frazier;1;1;892-60-9427;26.03.1977;20;1;14.08.2024
9506;Ryan Phillips;1;1;588-89-3998;23.05.1995;20;1;24.09.2024
9944;Christopher Morgan;1;1;407-63-9660;14.02.1992;10;0;04.07.2024
8899;Benjamin Thomas;2;1;620-59-5002;18.06.1990;20;1;27.03.2024
1242;Robert Franco;1;1;228-88-3620;02.03.1996;10;1;27.05.2024
9901;Ashley Davis;1;0;674-17-5225;01.01.1972;20;1;19.03.2024
2816;John Reid;1;0;560-01-3810;18.02.1994;30;1;22.05.2024
9702;Tony Williams;2;0;777-52-8829;01.09.1985;10;0;01.05.2024
9925;Donald Harrell;2;0;562-12-1585;02.08.1984;20;0;20.10.2023
7427;Roy Cooke;2;1;612-60-7466;14.02.1989;30;1;20.03.2024
2435;Robert Lewis;2;0;373-22-7494;20.07.1976;20;0;03.09.2024
2543;Timothy Stephenson;1;0;364-60-8074;28.01.1993;;1;28.07.2024
8463;Kathy Moore;2;0;567-07-7887;28.03.1983;;0;01.03.2024
5283;Michelle Parsons;2;0;279-07-4086;23.12.1998;30;0;19.09.2024
5574;Melissa Murphy;1;0;790-59-4893;26.12.1996;;1;10.04.2024
9987;Angela Cross;2;0;487-56-8942;28.04.1967;;1;31.03.2024
7621;Katherine Long;1;0;595-35-2782;27.04.1971;10;1;21.03.2024
2534;Christine Ramirez;1;0;770-62-1728;12.01.1984;20;1;18.06.2024
